Itemset,Frequency
"bread, pumpkin",1
"butter, pumpkin",1
"cornbread, cubes",1
"cornbread, mushrooms",1
"alfredo, casings",1
"alfredo, egg",1
"alfredo, milk",1
"alfredo, onions",1
"casings, noodles",1
"casings, spray",1
"cubes, puree",2
"greens, nutmeg",1
"greens, puree",1
"noodles, puree",1
"broth, eckrich",2
"broth, kimchi",1
"broth, ramyonsari",1
"broth, spam",1
"cheese, eckrich",1
"cheese, ramyonsari",1
"cloves, eckrich",2
"cloves, ramyonsari",1
"eckrich, kimchi",1
"eckrich, onion",1
"eckrich, onions",1
"eckrich, paste",1
"eckrich, pepper",2
"eckrich, ramyonsari",1
"eckrich, soy",1
"eckrich, spam",1
"kimchi, ramyonsari",1
"kimchi, soy",1
"onion, ramyonsari",1
"onions, ramyonsari",1
"paste, ramyonsari",1
"paste, spam",1
"pepper, ramyonsari",1
"ramyonsari, soy",1
"ramyonsari, spam",1
"flakes, tortellini",1
"crust, mozzarella",1
"crust, oregano",1
"crust, slices",1
"garlic, mozzarella",1
"mozzarella, oregano",1
"mozzarella, slices",1
"mozzarella, tomatoes",1
"chilies, temperature",1
"broth, ravioli",2
"ravioli, salad",1
"ravioli, sausage",1
"ravioli, spaghetti",1
"ravioli, sugar",1
"ravioli, tomatoes",1
"basil, pancetta",1
"oregano, pancetta",1
"pancetta, sausage",1
"pancetta, spinach",1
"pancetta, tomatoes",1
"butter, melts",1
"cheese, melts",1
"flakes, melts",1
"juices, macaroni",1
"juices, melts",1
"juices, size",1
"macaroni, melts",1
"macaroni, size",1
"melts, oil",1
"melts, onion",1
"melts, pepper",1
"melts, size",1
"gnocchi, ground",1
"ground, nutmeg",1
"ground, spinach",2
"cob, sausage",1
"sausage, slices",4
"kernels, sausage",2
"butter, fusilli",1
"flour, fusilli",1
"fusilli, milk",1
"fusilli, nutmeg",1
"fusilli, pepper",1
"fusilli, salt",1
"fusilli, sausage",1
"fusilli, yolks",1
"sausage, yolks",1
"cloves, rabe",3
"juice, rabe",1
"links, rabe",1
"broth, rabe",1
"butter, rabe",2
"pepper, rabe",3
"rabe, sausage",2
"beans, chipotle",1
"casings, chipotle",1
"casings, puree",1
"chipotle, puree",1
"butternut, cabbage",2
"butternut, provence",1
"cabbage, provence",2
"caps, cauliflower",1
"caps, kale",1
"caps, leaf",1
"cauliflower, kale",1
"cauliflower, lengthwise",1
"kale, lengthwise",1
"pastry, sausage",1
"cheese, no",1
"cheese, select",1
"juice, no",1
"juice, select",1
"no, onion",1
"no, sausage",1
"no, select",1
"no, spinach",1
"onion, select",1
"sausage, select",1
"select, spinach",1
"dough, flakes",1
"broccoli, gnocchi",1
"gnocchi, sauce",1
"drippings, flakes",1
"drippings, rabe",1
"rabe, tomatoes",1
"butter, cavatelli",1
"cavatelli, cheese",1
"cavatelli, cornstarch",1
"cavatelli, garlic",1
"cavatelli, knorr",1
"cavatelli, oil",1
"cavatelli, onion",1
"cavatelli, pepper",1
"cavatelli, rabe",1
"cavatelli, size",1
"cavatelli, strips",1
"cavatelli, water",1
"cavatelli, wine",1
"cornstarch, knorr",1
"cornstarch, rabe",1
"knorr, rabe",1
"knorr, size",1
"knorr, strips",1
"onion, rabe",1
"rabe, size",1
"rabe, strips",1
"rabe, water",1
"rabe, wine",1
"asparagus, eckrich",1
"butter, eckrich",1
"corn, eckrich",1
"eckrich, florets",1
"eckrich, flour",1
"eckrich, milk",1
"eckrich, oil",1
"eckrich, potatoes",1
"eckrich, salt",1
"carrot, links",1
"links, mustard",1
"crust, leaves",1
"crust, rounds",1
"carrots, meatballs",2
"celery, meatballs",2
"chunks, meatballs",1
"chunks, tortellini",1
"florets, meatballs",1
"meatballs, onions",1
"meatballs, parsley",1
"meatballs, tortellini",1
"meatballs, zucchini",1
"bacon, casings",1
"bacon, knorr",1
"casings, florets",1
"casings, half",1
"casings, knorr",1
"half, kale",1
"kale, knorr",1
"florets, loin",1
"ounce, rounds",1
"rounds, sausage",2
"butter, kielbasa",1
"cabbage, kielbasa",1
"kielbasa, sauce",1
"kielbasa, stock",1
"kielbasa, thyme",1
"apple, coriander",1
"coriander, seasoning",1
"basil, johnsonville",1
"cabbage, johnsonville",1
"cabbage, marinara",1
"johnsonville, marinara",1
"johnsonville, oil",1
"johnsonville, rice",1
"johnsonville, tomato",1
"butter, hocks",1
"cabbage, hocks",1
"hocks, sausage",1
"garlic, red",1
"links, red",1
"links, rings",2
"links, rolls",1
"oil, red",1
"pepper, red",1
"red, rings",1
"red, rolls",1
"red, salt",1
"red, sauce",1
"links, tortellini",1
"almonds, orange",1
"egg, orange",1
"meat, orange",1
"orange, parsley",2
"orange, rice",1
"cream, links",1
"links, puree",1
"blend, caps",1
"blend, crumbles",1
"caps, crumbles",1
"caps, tomatoes",1
"breasts, link",1
"link, parsley",1
"cornmeal, foil",1
"dough, foil",1
"butter, shop",1
"casings, gnocchi",1
"casings, grigio",1
"casings, shallots",1
"casings, shop",1
"cloves, shop",1
"flakes, grigio",1
"flakes, shop",1
"gnocchi, grigio",1
"gnocchi, mushrooms",2
"gnocchi, shallots",1
"gnocchi, shop",1
"grigio, mushrooms",1
"grigio, shallots",1
"grigio, shop",1
"mushrooms, shop",1
"pepper, shop",1
"shallots, shop",1
"sherry, zucchini",1
"links, squash",2
"links, zucchini",1
"liquid, squash",1
"links, zucchinis",1
"celery, turban",1
"cheese, turban",1
"cream, turban",1
"egg, turban",1
"mushrooms, turban",1
"onion, turban",1
"salt, turban",1
"sausage, turban",1
"bias, spaghetti",2
"farro, sausages",1
"farro, slices",1
"mushrooms, sausages",1
"sausages, slices",2
"bias, pesto",1
"lawry, links",1
"lawry, potatoes",1
"lawry, squash",1
"apples, casings",1
"apples, leeks",1
"apples, poultry",1
"casings, cranberries",2
"casings, leeks",1
"casings, poultry",2
"cranberries, cubes",1
"cranberries, leeks",1
"cranberries, poultry",2
"cubes, leeks",1
"leeks, poultry",1
"brandy, ounce",1
"brandy, sausage",1
"apple, stuffing",1
"broth, stuffing",1
"sausage, stuffing",1
"apple, breast",1
"breast, poultry",1
"poultry, whites",1
"apples, buttermilk",1
"apples, links",1
"buttermilk, links",1
"egg, links",2
"links, oats",1
"links, soda",1
"apples, parsley",3
"herb, nutmeg",1
"herb, seeds",1
"herb, shoulder",1
"paste, rub",1
"ribs, rub",1
"rub, zest",1
"dice, peppers",1
"dice, sausage",1
"concentrate, nutmeg",1
"concentrate, sausages",1
"cornstarch, sausages",2
"nutmeg, sausages",1
"sausages, zest",1
"bread, casings",1
"bread, orange",1
"bread, rosemary",1
"casings, orange",1
"casings, rosemary",1
"celery, orange",1
"orange, poultry",1
"orange, rosemary",1
"orange, sage",1
"orange, thyme",1
"oregano, parts",1
"parts, sausage",1
"biscuits, sausage",1
"cheese, johnsonville",1
"johnsonville, milk",1
"johnsonville, olives",1
"johnsonville, onion",1
"johnsonville, peppers",1
"johnsonville, tomatoes",1
"peppercorns, sausages",1
"rings, sausages",1
"rings, spice",1
"sausages, seeds",1
"sausages, spice",1
"berries, casing",1
"casing, cloves",1
"casing, cubes",1
"casing, peppers",1
"casing, salt",1
"casing, seeds",1
"casing, vinegar",1
"beef, grape",1
"cereal, grape",1
"cereal, jar",1
"cereal, sausage",1
"eggs, grape",1
"grape, jar",1
"grape, sausage",2
"jar, juice",1
"dill, rounds",1
"grape, ketchup",1
"cornstarch, grape",1
"grape, sausages",1
"grape, sugar",1
"grape, tomato",1
"grape, worcestershire",1
"concentrate, ounce",1
"concentrate, sauerkraut",1
"concentrate, sausage",1
"greens, sauerkraut",1
"onions, sauerkraut",1
"ounce, sauerkraut",1
"jelly, smokies",1
"sauce, smokies",1
"apricot, chunks",1
"apricot, onion",1
"apricot, sausage",1
"apricot, tomatoes",1
"bush, ketchup",1
"bush, mustard",1
"bush, pineapple",1
"bush, sausage",1
"pineapple, sausage",2
"cloves, dean",1
"cubes, dean",1
"dean, rosemary",1
"dean, salt",1
"dean, spinach",1
"kernels, msg",1
"msg, sausage",1
"links, skewers",1
"cream, okra",1
"okra, shallots",1
"bread, choice",1
"choice, cucumber",1
"fat, skewers",1
"pork, skewers",1
"crust, shallots",1
"nutmeg, pork",1
"pork, rosemary",1
"coffee, walnuts",2
"coffee, water",1
"sausage, walnuts",2
"beef, quick",1
"garlic, quick",1
"pepper, quick",1
"quick, seed",1
"ounce, sage",1
"bacon, feet",1
"beans, feet",1
"beef, tails",1
"beef, thirds",1
"feet, half",1
"feet, leaves",1
"feet, onions",1
"feet, parsley",1
"feet, ribs",1
"feet, sausage",1
"feet, tails",1
"feet, thirds",1
"half, ribs",1
"ribs, tails",1
"ribs, thirds",1
"sausage, thirds",1
"tails, thirds",1
"crabs, lemons",1
"crabs, sausage",1
"crabs, seasoning",1
"crabs, shrimp",1
"bread, scallions",1
"half, scallions",1
"ham, scallions",1
"butter, quahogs",1
"butter, top",2
"links, margarine",1
"links, quahogs",1
"links, top",1
"margarine, quahogs",1
"margarine, top",1
"onion, quahogs",1
"quahogs, top",1
"quahogs, water",1
"top, water",2
"chunks, seafood",1
"clams, quarters",1
"clams, seafood",1
"legs, quarters",1
"legs, seafood",1
"lengthwise, quarters",1
"lengthwise, seafood",1
"quarters, seafood",1
"seafood, seasoning",1
"frying, poultry",1
"casings, worcestershire",1
"chachere, skin",1
"chachere, slices",1
"chachere, stalk",1
"chachere, wine",1
"skin, slices",1
"skin, stalk",1
"slices, stalk",1
"creole, file",1
"creole, halves",1
"file, halves",1
"breast, mace",1
"flakes, mace",2
"garlic, mace",1
"mace, paprika",2
"mace, pork",1
"mace, seed",1
"blend, soda",1
"olives, soda",1
"pasta, soda",1
"seasoning, soda",1
"cheese, garnish",1
"garnish, sausage",1
"garnish, shells",1
"marinara, tortellini",1
"sausage, tortellini",3
"peach, sausage",1
"peach, spaghetti",1
"basil, herb",1
"herb, marjoram",1
"herb, onions",1
"link, rice",1
"link, shallots",1
"link, thyme",1
"cream, sausages",1
"cubes, gravy",1
"gravy, rings",1
"gravy, sausage",1
"chilies, drippings",1
"chilies, florets",1
"chilies, paprika",1
"chilies, sage",1
"cream, drippings",1
"drippings, florets",1
"drippings, sage",1
"apples, drippings",1
"drippings, margarine",1
"corn, rings",1
"links, peas",1
"broth, fraiche",2
"butter, cannellini",1
"cannellini, carrot",1
"cannellini, fraiche",1
"cannellini, leaves",1
"cannellini, lemon",1
"cannellini, parsley",1
"cannellini, rosemary",1
"cannellini, salt",2
"carrot, fraiche",2
"celery, fraiche",1
"cubes, fraiche",2
"fraiche, parsley",1
"fraiche, rosemary",1
"ketchup, tortellini",1
"butternut, root",1
"butternut, rounds",1
"butternut, soup",1
"butternut, tabasco",1
"butternut, weed",1
"cabbage, tabasco",1
"root, soup",1
"root, tabasco",1
"root, weed",1
"rounds, soup",1
"rounds, tabasco",1
"rounds, weed",1
"soup, tabasco",1
"berries, marjoram",1
"berries, mushrooms",1
"berries, paste",1
"berries, shoulder",1
"marjoram, prunes",1
"marjoram, strips",1
"paste, prunes",1
"prunes, strips",1
"apple, cutlets",1
"apple, jalapeno",1
"apple, sausages",1
"cutlets, jalapeno",1
"cutlets, peaches",1
"cutlets, sausages",1
"cutlets, twine",1
"jalapeno, peaches",1
"jalapeno, sausages",1
"jalapeno, twine",1
"jalapeno, vinegar",1
"peaches, sausages",1
"peaches, twine",1
"sausages, twine",1
"extract, sausage",1
"flour, kale",1
"kale, links",1
"kale, syrup",1
"links, syrup",1
"extract, f",1
"extract, links",1
"f, links",1
"links, yeast",1
"arugula, beans",1
"arugula, lemon",1
"arugula, scallops",1
"arugula, seasoning",1
"beans, scallops",3
"lentils, scallops",1
"butter, daal",1
"butter, rajma",1
"chile, coriander",1
"chile, daal",1
"chile, rajma",1
"cilantro, daal",1
"cilantro, rajma",1
"cloves, daal",1
"cloves, rajma",1
"coriander, daal",1
"coriander, rajma",1
"daal, ginger",1
"daal, masala",1
"daal, oil",1
"daal, onion",1
"daal, rajma",1
"daal, salt",1
"daal, seeds",1
"daal, tomatoes",1
"daal, turmeric",1
"daal, yogurt",1
"ginger, rajma",1
"masala, rajma",1
"oil, rajma",1
"onion, rajma",1
"rajma, salt",1
"rajma, seeds",1
"rajma, tomatoes",1
"rajma, turmeric",1
"rajma, yogurt",1
"carrots, hock",2
"ham, hock",1
"hock, mustard",1
"mix, swiss",1
"beans, wheat",3
"broth, wheat",2
"cloves, leeks",2
"cloves, wheat",1
"cumin, wheat",2
"leeks, wheat",1
"spinach, wheat",1
"beans, pure",1
"broth, pure",1
"ham, pure",1
"onion, pure",1
"pure, tomatoes",1
"pure, vinegar",1
"breasts, hominy",1
"hominy, mix",2
"broth, navy",1
"cloves, navy",1
"herb, kale",1
"herb, navy",1
"kale, navy",1
"kale, parsley",1
"navy, oil",1
"navy, onion",1
"navy, parsley",1
"navy, pepper",1
"navy, tomatoes",1
"bacon, pinch",1
"beans, pinch",1
"broth, pinch",1
"cumin, pinch",1
"onion, pinch",2
"pepper, pinch",2
"pinch, salt",1
"pinch, water",2
"carrots, sausages",1
"flour, sausages",1
"chickpeas, honey",1
"chickpeas, mustard",2
"chickpeas, vinegar",1
"avocado, pimentos",1
"cilantro, pimentos",1
"lime, pimentos",1
"onions, pimentos",1
"peppers, pimentos",1
"oil, pimentos",1
"pimentos, water",1
"chunky, juice",2
"apple, beans",3
"beans, soybeans",1
"cilantro, soybeans",1
"cumin, soybeans",1
"peppers, soybeans",1
"rings, salad",1
"barley, berries",1
"barley, c",1
"barley, honey",2
"barley, millet",1
"barley, yeast",2
"beans, c",1
"beans, millet",1
"berries, c",1
"berries, millet",1
"berries, yeast",1
"c, lentils",2
"c, millet",1
"flour, millet",1
"honey, millet",1
"lentils, millet",1
"millet, salt",1
"millet, yeast",1
"bay, cornstarch",1
"bay, sriracha",1
"beans, crosswise",3
"crosswise, lengthwise",1
"crosswise, sauce",1
"bone, seasoning",1
"bananas, paste",1
"extract, paste",1
"paste, syrup",2
"lettuce, pesto",2
"nuts, rosemary",1
"nuts, slices",1
"pesto, rosemary",1
"pesto, slices",1
"barley, egg",1
"barley, germ",1
"barley, milk",2
"barley, wheat",1
"germ, wheat",1
"germ, yeast",1
"honey, wheat",1
"beans, temperature",2
"gallo, lengthwise",1
"gallo, temperature",1
"eggplant, eggs",1
"cranberries, milk",2
"cabbage, sirloin",1
"carrots, shoots",1
"seeds, shoots",1
"shoots, sirloin",1
"shoots, spinach",1
"sirloin, spinach",1
"matchsticks, stock",1
"kernels, salsa",1
"kernels, turkey",1
"noodles, salsa",1
"chives, lengths",1
"chives, nuts",1
"leaf, lengths",1
"leaf, nuts",1
"lengths, nuts",1
"chickpeas, quinoa",1
"sage, soda",1
"beans, glace",1
"cloves, glace",1
"glace, oil",1
"glace, pepper",1
"glace, shallots",1
"glace, skin",1
"glace, sugar",1
"glace, temperature",1
"glace, water",1
"glace, wine",1
"skin, temperature",1
"beans, spread",1
"broth, spread",1
"cloves, spread",1
"beans, fine",2
"cilantro, fine",1
"fine, peppercorns",1
"fine, sugar",1
"fine, water",2
"beans, choy",1
"raisins, size",1
"chops, cube",1
"beans, gnocchi",1
"celery, pesto",1
"gnocchi, onions",1
"gnocchi, pesto",1
"gnocchi, sage",1
"gnocchi, wine",1
"pesto, sage",1
"leaf, matchsticks",1
"beans, squares",1
"cilantro, squares",1
"ounce, squares",1
"paste, squares",1
"bits, stems",1
"asafoetida, coriander",1
"asafoetida, dahl",1
"asafoetida, flakes",2
"asafoetida, lemon",1
"asafoetida, masala",1
"asafoetida, spinach",1
"asafoetida, water",4
"asafoetida, wedges",1
"coriander, dahl",1
"dahl, flakes",1
"dahl, lemon",1
"dahl, masala",1
"dahl, oil",1
"dahl, salt",1
"dahl, seeds",1
"dahl, spinach",1
"dahl, turmeric",1
"dahl, water",1
"dahl, wedges",1
"lemon, masala",1
"chili, frying",1
"frying, kernels",1
"frying, spinach",1
"frying, tortillas",1
"bacon, puree",1
"puree, soup",1
"puree, spinach",1
"puree, zucchini",1
"asafoetida, broth",1
"asafoetida, cinnamon",1
"asafoetida, curry",2
"asafoetida, garlic",1
"asafoetida, pepper",3
"asafoetida, soybeans",1
"cinnamon, florets",1
"cinnamon, soybeans",1
"curry, soybeans",1
"florets, soybeans",1
"garlic, soybeans",1
"seeds, soybeans",1
"soybeans, turmeric",1
"broccoli, butternut",1
"butternut, syrup",1
"broccoli, rounds",1
"broccoli, salsa",1
"broccoli, tortillas",1
"breasts, macaroni",1
"florets, shallot",1
"apples, broccoli",1
"apples, corn",1
"apples, dill",1
"asparagus, cauliflower",1
"asparagus, granules",1
"asparagus, scallions",1
"cauliflower, scallions",1
"granules, scallions",1
"granules, sprouts",1
"scallions, sprouts",1
"beans, ground",2
"cauliflower, ground",1
"chives, ground",1
"ground, soup",1
"beans, quorn",1
"broth, quorn",1
"cilantro, quorn",1
"cloves, quorn",1
"corn, quorn",1
"cream, quorn",1
"cumin, quorn",1
"florets, quorn",1
"oil, quorn",1
"onion, quorn",1
"pepper, quorn",1
"peppers, quorn",1
"quorn, salt",1
"peppers, tahini",1
"rice, tahini",1
"asafoetida, ginger",1
"asafoetida, lime",1
"asafoetida, peas",2
"asafoetida, pods",1
"asafoetida, strips",1
"lime, pods",1
"peas, pods",1
"broth, fine",1
"cabbage, fine",1
"cabbage, pancetta",1
"celery, fine",1
"celery, pancetta",1
"fine, flakes",1
"fine, pancetta",1
"fine, parsley",1
"fine, pasta",1
"fine, seasoning",1
"fine, swiss",1
"flakes, pancetta",1
"pancetta, parsley",1
"pancetta, swiss",1
"bones, kale",1
"base, cabbage",1
"base, provence",1
"kale, provence",2
"beans, hazelnuts",1
"hazelnuts, zest",1
"monte, mushrooms",1
"mushrooms, tabasco",1
"mint, shallot",1
"cardamom, sherry",1
"cardamom, vinegar",1
"chives, drumsticks",1
"drumsticks, mushrooms",1
"drumsticks, root",1
"celery, top",1
"cream, top",1
"meat, top",1
"soup, top",1
"spray, top",1
"beans, ben",1
"ben, chunks",1
"ben, mayonnaise",1
"ben, soup",1
"bite, size",1
"bite, stems",1
"size, stems",1
"spaghetti, stems",1
"macaroni, thyme",2
"macaroni, zucchini",1
"salsa, squash",1
"salsa, zucchini",1
"almonds, eggplant",1
"almonds, potato",2
"eggplant, potato",1
"eggplant, raisins",1
"eggplant, spinach",1
"raisins, spinach",1
"cubes, scallions",1
"florets, scallions",1
"scallions, wedges",1
"basil, cannellini",2
"cannellini, tortellini",1
"cannellini, vinaigrette",1
"cannellini, zucchini",1
"tortellini, vinaigrette",1
"vinaigrette, zucchini",1
"beans, juices",1
"beef, juices",1
"juices, kernels",1
"juices, mix",1
"juices, zucchini",1
"beans, herbs",1
"beans, moons",1
"bouillon, herbs",1
"bouillon, moons",1
"carrots, herbs",1
"carrots, moons",1
"casings, herbs",1
"casings, moons",1
"herbs, moons",1
"herbs, spinach",1
"moons, spinach",1
"moons, water",1
"chilies, lengthwise",1
"chilies, size",1
"lengthwise, size",2
"crosswise, dice",1
"crosswise, rounds",1
"crosswise, tomatoes",1
"dice, rounds",1
"carrot, chips",1
"chips, leaves",2
"enchilada, lengthwise",1
"butternut, granules",1
"butternut, hominy",1
"flour, hominy",1
"granules, hominy",1
"butternut, cilantro",2
"butternut, ounce",1
"butternut, turmeric",1
"cream, mill",1
"cumin, mill",1
"curry, mill",1
"curry, pumpkin",2
"egg, mill",1
"egg, pumpkin",1
"mill, oil",1
"mill, onion",1
"mill, pepper",1
"mill, pumpkin",1
"mill, salt",1
"mill, squash",1
"avocados, bush",1
"bush, corn",1
"bush, juice",1
"bush, vinegar",1
"kernels, limes",1
"coriander, membranes",1
"honey, membranes",1
"juice, membranes",1
"avocado, rosemary",1
"lime, rosemary",1
"avocados, catalina",1
"beef, catalina",1
"catalina, chips",1
"catalina, onions",1
"catalina, tomatoes",1
"avocados, lemons",1
"lemons, mango",1
"avocado, meal",1
"chips, meal",1
"cocoa, meal",1
"meal, soda",1
"avocado, steak",1
"beans, grill",1
"beans, rolls",1
"cumin, grill",1
"grill, lettuce",1
"grill, mayonnaise",1
"grill, rolls",1
"grill, steak",1
"grill, tomato",1
"lettuce, steak",1
"mayonnaise, steak",1
"rolls, steak",1
"steak, tomato",1
"rum, sausage",1
"bourbon, garlic",2
"bourbon, ketchup",1
"bourbon, mustard",1
"bourbon, onion",2
"bourbon, paprika",1
"bourbon, pork",1
"apples, cilantro",2
"cilantro, plum",1
"kernels, mango",1
"kernels, plum",1
"lime, plum",1
"mango, plum",1
"bits, cider",1
"apples, applesauce",1
"applesauce, beans",1
"applesauce, sausage",1
"beans, orange",1
"orange, soy",1
"orange, tomato",1
"carrots, wheat",1
"cinnamon, wheat",1
"cranberries, wheat",1
"nuts, wheat",1
"squash, wheat",1
"apricots, bulgur",1
"apricots, peel",1
"apricots, raisins",1
"beans, bulgur",1
"beans, peel",1
"bulgur, cloves",1
"bulgur, peel",1
"bulgur, raisins",1
"bulgur, sugar",1
"beans, cacao",1
"beans, ice",1
"beans, liqueur",1
"beans, pinnacle",1
"cacao, ice",1
"cacao, lemon",1
"cacao, liqueur",1
"cacao, pinnacle",1
"ice, liqueur",1
"ice, pinnacle",1
"lemon, liqueur",1
"lemon, pinnacle",1
"liqueur, pinnacle",1
"beans, marmalade",1
"chunks, marmalade",1
"corn, marmalade",1
"cumin, marmalade",1
"marmalade, tomatoes",1
"almonds, craisins",1
"beans, craisins",1
"kernels, taco",2
"pears, peel",1
"pears, seeds",1
"peel, seeds",1
"peel, wine",1
"banana, cream",1
"banana, cumin",1
"banana, garlic",2
"banana, mango",1
"banana, peppers",1
"banana, tabasco",1
"ginger, tabasco",1
"mango, tabasco",1
"kernels, salad",1
"amount, peas",1
"amount, peppers",1
"amount, sauce",1
"amount, tomatoes",1
"cream, gelatin",1
"gelatin, lengthwise",1
"cheese, wafers",1
"eggs, wafers",1
"margarine, topping",1
"margarine, wafers",1
"sugar, wafers",1
"topping, wafers",1
"vanilla, wafers",1
"beans, pineapple",2
"kernels, pineapple",1
"beans, marinade",1
"blend, marinade",1
"breasts, chilies",1
"breasts, marinade",1
"chilies, marinade",1
"marinade, rice",1
"cilantro, crosswise",1
"crosswise, ginger",1
"crosswise, grass",1
"crosswise, honey",1
"crosswise, pineapple",1
"crosswise, scallops",1
"crosswise, seeds",1
"grass, pineapple",1
"grass, scallops",1
"grass, seeds",1
"honey, scallops",1
"pineapple, scallops",1
"scallops, seeds",1
"ancho, chili",1
"ancho, extract",1
"ancho, ginger",1
"ancho, salsa",1
"cumin, extract",1
"extract, salsa",1
"extract, tomatoes",1
"ginger, salsa",1
"salsa, sugar",1
"liquid, mango",1
"liquid, size",2
"mango, size",1
"bean, lemon",1
"bean, pears",1
"bean, topping",1
"bean, water",1
"cream, topping",1
"lemon, pears",1
"pears, topping",1
"potato, tortillas",1
"allspice, fresh",1
"allspice, salsa",1
"allspice, strips",1
"beans, fresh",1
"broth, fresh",1
"chunks, fresh",1
"cumin, fresh",1
"fresh, garlic",1
"fresh, salsa",1
"fresh, thighs",1
"salsa, thighs",1
"mustard, oats",2
"oats, potato",1
"avocados, quinoa",1
"potatoes, quinoa",1
"broth, chourico",1
"chourico, leaves",1
"chourico, liquid",1
"chourico, onion",1
"chourico, pepper",1
"chourico, potato",1
"chourico, spinach",1
"chourico, tomatoes",1
"liquid, spinach",1
"beans, chorizo",1
"chiles, chorizo",1
"chiles, leaf",1
"chiles, potato",1
"chorizo, cinnamon",1
"chorizo, cloves",1
"chorizo, garlic",1
"chorizo, leaf",1
"chorizo, potato",1
"chorizo, tomato",1
"chorizo, water",1
"cilantro, vinaigrette",1
"corn, vinaigrette",2
"cumin, vinaigrette",1
"onions, vinaigrette",1
"lime, quinoa",1
"beans, crackers",1
"almonds, corn",1
"almonds, ritz",1
"beans, ritz",1
"corn, greens",1
"greens, wedges",1
"almonds, paneer",1
"almonds, tomato",1
"beans, paneer",1
"carrots, paneer",1
"coriander, paneer",1
"cream, paneer",1
"masala, paneer",1
"masala, raisins",1
"milk, paneer",1
"oil, paneer",1
"onion, paneer",1
"paneer, paste",1
"paneer, peas",1
"paneer, pepper",1
"paneer, potatoes",1
"paneer, raisins",1
"paneer, salt",1
"paneer, tomato",1
"paneer, turmeric",1
"paneer, water",1
"paste, raisins",1
"beans, cucumbers",2
"beans, papaya",1
"beans, serrano",1
"cloves, papaya",1
"cloves, serrano",1
"cubes, papaya",1
"cubes, serrano",1
"leaves, papaya",1
"leaves, serrano",1
"lemon, papaya",1
"lemon, peanuts",1
"lemon, serrano",1
"limes, papaya",1
"limes, serrano",1
"papaya, peanuts",1
"papaya, sauce",1
"papaya, serrano",1
"papaya, tomato",1
"peanuts, serrano",1
"peanuts, tomato",1
"sauce, serrano",1
"serrano, sugar",1
"serrano, tomato",1
"cloves, djan",1
"djan, peppers",1
"djan, salt",1
"djan, sticks",1
"djan, sugar",1
"djan, vinegar",1
"peppers, sticks",1
"cucumber, turmeric",1
"foil, peanuts",1
"foil, rounds",1
"foil, sprouts",1
"paper, peanuts",1
"paper, rounds",1
"paper, sprouts",1
"peanuts, rounds",1
"rounds, sprouts",1
"rounds, wedges",1
"bacon, radish",1
"liquid, radish",1
"broccoli, chips",1
"broccoli, cucumbers",1
"broccoli, lettuce",1
"carrots, chips",1
"cauliflower, chips",1
"cauliflower, cucumbers",1
"cauliflower, radishes",1
"cucumbers, radishes",1
"carrot, hocks",1
"garlic, hocks",2
"hocks, parsley",1
"beans, sheets",1
"bouillon, sheets",1
"chile, rosemary",1
"chile, sage",1
"chile, sheets",1
"chile, twine",1
"leaf, sheets",1
"oil, sheets",1
"rosemary, sheets",1
"sage, sheets",1
"sheets, twine",1
"tomatoes, twine",1
"chili, kale",2
"alum, beans",1
"alum, cloves",1
"alum, peppers",1
"alum, salt",1
"alum, seed",1
"alum, spice",1
"alum, vinegar",1
"alum, water",1
"alum, weed",1
"peppers, weed",2
"spice, weed",1
"bacon, hocks",1
"chunks, hocks",1
"hocks, paprika",1
"hock, rounds",1
"beans, fennel",1
"fennel, flakes",1
"fennel, kale",1
"fennel, leaf",1
"kale, wine",1
"links, steak",1
"chachere, mix",1
"bottle, chile",1
"bottle, paprika",1
"chile, membrane",1
"barley, kernels",1
"barley, lettuce",1
"kernels, lettuce",2
"crumbs, puree",1
"avocado, bones",1
"bones, chips",1
"bones, cilantro",1
"bones, lime",1
"broth, product",1
"product, skin",1
"avocado, fillet",1
"chili, fillet",1
"fillet, radishes",1
"fillet, salsa",1
"fillet, tortillas",1
"radishes, salsa",1
"cannellini, garlic",1
"cannellini, mustard",1
"cannellini, quinoa",1
"cannellini, sugar",1
"cannellini, tuna",1
"cannellini, vinegar",1
"cannellini, weed",1
"quinoa, tuna",1
"quinoa, weed",1
"blend, tuna",1
"tortillas, tuna",1
"chickpeas, mayonnaise",1
"chickpeas, relish",1
"juice, oats",1
"mayonnaise, oats",1
"oats, pickles",1
"chili, crabmeat",1
"chili, scallops",1
"chili, tails",1
"crabmeat, liquid",1
"crabmeat, size",1
"liquid, scallops",1
"liquid, tails",1
"peppers, scallops",1
"size, tails",1
"crabs, greens",1
"crabs, kamayan",1
"crabs, oil",1
"crabs, rings",1
"crabs, sauce",1
"crabs, skin",1
"crabs, spinach",1
"crabs, whites",1
"garlic, kamayan",1
"greens, kamayan",1
"greens, milk",1
"greens, skin",1
"greens, spinach",1
"greens, whites",1
"kamayan, milk",1
"kamayan, oil",1
"kamayan, onion",1
"kamayan, pepper",1
"kamayan, rings",1
"kamayan, sauce",1
"kamayan, skin",1
"kamayan, spinach",1
"kamayan, water",1
"kamayan, whites",1
"skin, spinach",1
"skin, whites",1
"ranch, tahini",1
"redhot, tahini",1
"leaves, zucchinis",1
"beans, sides",1
"breast, sides",1
"broth, sides",1
"cumin, sides",1
